entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
2221,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ανατολή,east,east photo,generated
2222,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,απόγευμα,afternoon,afternoon photo,generated
2223,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,αυγή,dawn,dawn photo,generated
2224,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,βδομάδα,week,week photo,generated
2225,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,βράδυ,at night,at night photo,generated
2226,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δεκάλεπτο,ten-minutes,ten-minutes photo,generated
2227,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δευτερόλεπτο,second,second photo,generated
2228,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δείκτης,indicator,indicator photo,generated
2229,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δεκαπενθήμερο,fifteen days,fifteen days photo,generated
2230,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δίμηνο,,,no_english
2231,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δίωρο,two hours,two hours photo,generated
2232,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δύση,west,west photo,generated
2233,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δύσητουήλιου,,,no_english
2234,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,εβδομάδα,week,week photo,generated
2235,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,εξάμηνο,,,no_english
2236,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,έτος,year,year photo,generated
2237,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηλιοβασίλεμα,sunset,sunset photo,generated
2238,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ημέρα,hours of daylight,hours of daylight photo,generated
2239,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ημερομηνία,date,date photo,generated
2240,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,λεπτό,Nominative,Nominative photo,generated
2241,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,λεπτοδείκτης,,,no_english
2242,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,μέρα,hours of daylight,hours of daylight photo,generated
2243,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,μεσημέρι,midday,midday photo,generated
2244,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,μήνας,month,month photo,generated
2245,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,μισάωρο,half-hour,half-hour photo,generated
2246,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,νύχτα,night,night photo,generated
2247,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ξημέρωμα,dawn,dawn photo,generated
2248,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,πενθήμερο,five-day,five-day photo,generated
2249,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,πεντάλεπτο,,,no_english
2250,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,πρωί,morning,morning photo,generated
2251,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,πρωτομηνιά,,,no_english
2252,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ρολόι,Nominative and vocative plural,Nominative and vocative plural photo,generated
2253,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,σαββατόβραδο,,,no_english
2254,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,σαββατοκύριακο,weekend,weekend photo,generated
2255,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,σούρουπο,dusk,dusk photo,generated
2256,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,τέταρτο,quarter,quarter photo,generated
2257,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,τρίμηνο,trimester,trimester photo,generated
2258,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ώρα,hour,hour photo,generated
2259,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ωροδείκτης,,,no_english
2260,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ωρολόι,,,no_english
2261,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οιμέρεςτηςεβδομάδας,,,no_english
2262,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,η∆ευτέρα,,,no_english
2263,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηΤρίτη,,,no_english
2264,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηΤετάρτη,,,no_english
2265,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηΠέμπτη,,,no_english
2266,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηΠαρασκευή,,,no_english
2267,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,τοΣάββατο,,,no_english
2268,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ηΚυριακή,,,no_english
2269,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οι12μήνεςτουγρόνου,,,no_english
2270,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΙανουάριος,,,no_english
2271,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΦεβρουάριος,,,no_english
2272,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΜάρτιος,,,no_english
2273,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΑπρίλιος,,,no_english
2274,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΜάιος,,,no_english
2275,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΙούνιος,,,no_english
2276,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΙούλιος,,,no_english
2277,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΑύγουστος,,,no_english
2278,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΣεπτέμβριος,,,no_english
2279,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΟκτώβριος,,,no_english
2280,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,οΝοέμβριος,,,no_english
2281,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ο∆εκέμβριος,,,no_english
2282,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,διαίρεσηχρόνου,,,no_english
2283,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,αιώνας,century,century photo,generated
2284,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,δεκαετία,decade,decade photo,generated
2285,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,διετία,biennium,biennium photo,generated
2286,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,εξάμηνο,,,no_english
2287,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,έτος,year,year photo,generated
2288,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,πενταετία,,,no_english
2289,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,χρόνος,see colloquial genitive χρονών,see colloquial genitive χρονών photo,generated
2290,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,χιλιετερίδα,,,no_english
2291,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,χιλιετία,millennium,millennium photo,generated
2292,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,τοηλιακόσύστημα,,,no_english
2293,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,ακτίνα,light ray,light ray photo,generated
2294,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,άξονας,axis,axis photo,generated
2295,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,αστέρι,star,star photo,generated
2296,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,γη,world,world photo,generated
2297,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,έκλειψηηλίου,,,no_english
2298,9,Ο χρόνος και οι εποχές - Ο καιρός,Ουσιαστικά,noun,,έκλειψησελήνης,,,no_english
